,property_id,prop_type,price,baths_half,baths_full,beds,city,postal_code,state_code,county,building_size,lot_size
159,M2836410655,single_family,1095000,0.0,2,3,Pleasanton,94588,CA,Alameda,1519,9161.0
160,M2780172007,single_family,1875000,0.0,2,3,Corte Madera,94925,CA,Marin,1822,6120.0
161,M1745194402,single_family,1949000,0.0,2,5,Oakland,94618,CA,Alameda,2112,4240.0
162,M1297519521,single_family,559000,1.0,2,3,Richmond,94801,CA,Contra Costa,1431,3969.0
163,M1054978246,single_family,1995000,1.0,3,3,Walnut Creek,94598,CA,Contra Costa,3493,22085.0
164,P417000453021,single_family,1179990,1.0,2,3,Dublin,94568,CA,Alameda,2654,
165,P417000454455,single_family,1314950,1.0,3,5,Hayward,94542,CA,Alameda,3290,
166,M2302917262,single_family,998000,0.0,3,4,San Francisco,94124,CA,San Francisco,1800,1873.0
167,M1551949702,single_family,625000,0.0,3,4,Mill Valley,94941,CA,Marin,1938,4861.0
168,M1817504913,single_family,998000,1.0,1,2,Daly City,94015,CA,San Mateo,1300,4329.0
169,M2496491088,single_family,1575000,0.0,4,4,San Francisco,94112,CA,San Francisco,2015,2663.0
170,M1309836756,single_family,3395000,0.0,4,4,San Francisco,94121,CA,San Francisco,3264,2996.0
171,M1558864689,single_family,699950,1.0,1,3,Oakland,94605,CA,Alameda,1337,5400.0
172,P412877259392,single_family,1099500,1.0,2,3,Oakland,94605,CA,Alameda,2903,
173,P415087367704,single_family,969000,1.0,3,4,Dublin,94568,CA,Alameda,2405,
174,M9990825176,single_family,850000,1.0,2,2,Oakland,94608,CA,Alameda,1280,1921.0
175,M1505109561,single_family,2995000,1.0,4,4,Tiburon,94920,CA,Marin,2885,5502.0
176,M1489210852,single_family,499000,1.0,2,3,Vallejo,94591,CA,Solano,1662,7692.0
177,M2679395573,single_family,568000,0.0,1,2,Union City,94587,CA,Alameda,704,3441.0
178,M1801535463,single_family,2795000,1.0,3,4,Mill Valley,94941,CA,Marin,4285,59242.0
179,M2117758507,single_family,2200000,0.0,3,4,Mill Valley,94941,CA,Marin,2215,5502.0
180,M1275275300,single_family,1125000,0.0,2,2,Redwood City,94063,CA,San Mateo,1280,3000.0
181,M2213027254,single_family,499000,0.0,2,4,Vallejo,94590,CA,Solano,2272,6499.0
182,M1025454509,single_family,799000,1.0,1,2,San Leandro,94577,CA,Alameda,1113,16124.0
183,M1075687593,single_family,890000,1.0,2,3,Dublin,94568,CA,Alameda,1590,3195.0
184,M1740040329,single_family,1600000,0.0,3,6,Alameda,94501,CA,Alameda,2597,7110.0
185,M2774568786,single_family,899999,0.0,2,3,Pleasanton,94566,CA,Alameda,1159,6500.0
186,M2495607313,single_family,849000,1.0,1,2,San Leandro,94577,CA,Alameda,1700,14100.0
187,M1214328850,single_family,2099998,1.0,3,5,Fremont,94555,CA,Alameda,3202,5400.0
188,M1931114189,single_family,1100000,0.0,2,3,Oakland,94611,CA,Alameda,1694,6776.0
189,M1341827840,single_family,678888,0.0,4,5,Oakland,94603,CA,Alameda,1752,3525.0
190,M1933330550,single_family,1249800,0.0,2,3,Fremont,94536,CA,Alameda,1708,6400.0
191,M1600960683,single_family,1375000,1.0,1,2,Oakland,94618,CA,Alameda,1140,4000.0
192,M2216276330,single_family,728000,1.0,1,3,San Lorenzo,94580,CA,Alameda,1482,5400.0
